type,impedance
Day-0-dry,1.90E+07
Day-0-dry,5.19E+07
Day-0-dry,2.06E+07
Day-0-dry,1.95E+07
Day-0-dry,2.03E+07
Day-0-dry,1.96E+07
Day-0-dry,4.52E+07
Day-0-dry,2.18E+07
Day-0-dry,2.13E+07
Day-0-dry,2.95E+07
Day-0-dry,3.91E+07
Day-0-dry,4.44E+07
Day-0-dry,4.36E+07
Day-0-dry,3.42E+07
Day-0-dry,3.85E+07
Day-0-dry,2.30E+07
Day-0-dry,4.64E+07
Day-0-wet,1.26E+07
Day-0-wet,3.55E+07
Day-0-wet,1.44E+07
Day-0-wet,1.59E+07
Day-0-wet,1.56E+07
Day-0-wet,1.46E+07
Day-0-wet,2.00E+07
Day-0-wet,1.78E+07
Day-0-wet,1.45E+07
Day-0-wet,1.73E+07
Day-0-wet,1.84E+07
Day-0-wet,3.83E+07
Day-0-wet,3.65E+07
Day-0-wet,2.94E+07
Day-0-wet,3.37E+07
Day-0-wet,1.40E+07
Day-0-wet,1.51E+07