IDE,Z0_m_dry,Z0_m_wet,Z0_s_wet
12-8,21300000,14500000,9770000
14-16,39100000,18400000,10500000
16-2,44400000,38300000,22200000
16-4,43600000,36500000,24900000
16-8,34200000,29400000,17100000
16-16,38500000,33700000,33600000
20-2,23000000,14000000,10700000
20-16,46400000,15100000,9770000
22-2,29920963.39,14239.82154,3576781.796
22-4,27248779.8,12895856.41,10778189.95
22-8,33024208.61,20244459.85,18956538
22-16,28329936.85,15121826.29,12132976.13
26-2,55537952.63,53658195.59,54494717.22
26-4,47597364.53,17541979.75,20216212.77
26-8,25082044.54,14536986.32,10480055.61
26-16,49021719.34,17742754.29,12055773.08
27-2,46381815.95,12102.31814,3374151.315
27-4,52982372.98,13717228.08,12261630.06
27-8,21657492.04,13135352.45,11300688.73
27-16,66981338.18,16502074.17,14352833.31
28-2,49835079.46,33781169.89,32016566.06
28-4,22677152.72,12420352.5,10400885.37
28-8,21374381.22,11797046.36,10104177.58
28-16,33739213.57,12826945.95,10329163.57
31-2,22129386.1,12130440.87,10523358.32
31-4,21660654.93,11581770.86,9479319.641
31-8,19965256.51,11178418.52,9240854.485
31-16,28224947.12,9785116.491,28224947.12