IDE-name,Date,,,,,,,,,,,,,,,,,,,,,,,,,
12-8-m,dry,5/23/2022,5/24/2022,5/25/2022,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/22/2022,6/27/2022,6/30/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022
12-8-s,5/23/2022,5/24/2022,5/25/2022,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/22/2022,6/27/2022,6/30/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,
16-2-m,dry,5/23/2022,5/24/2022,5/25/2022,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022
16-2-s,5/23/2022,5/24/2022,5/25/2022,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,
16-4-m,dry,5/23/2022,5/24/2022,5/25/2022,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022
16-4-s,5/23/2022,5/24/2022,5/25/2022,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,
16-8-m,dry,5/23/2022,5/24/2022,5/25/2022,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022
16-8-s,5/23/2022,5/24/2022,5/25/2022,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,
16-16-m,dry,5/23/2022,5/24/2022,5/25/2022,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022
16-16-s,5/23/2022,5/24/2022,5/25/2022,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,
20-2-m,dry,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,
20-2-s,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,
20-16-m,dry,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,
20-16-s,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,
22-2-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
22-2-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
22-4-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
22-4-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
22-8-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
22-8-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
22-16-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
22-16-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
26-2-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
26-2-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
26-4-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
26-4-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
26-8-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
26-8-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
26-16-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
26-16-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
27-2-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
27-2-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
27-4-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
27-4-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
27-8-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
27-8-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
27-16-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
27-16-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
28-2-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
28-2-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
28-4-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
28-4-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
28-8-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
28-8-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
28-16-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
28-16-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
31-2-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
31-2-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
31-4-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
31-4-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
31-8-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
31-8-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
31-16-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
31-16-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
