Frequency (Hz),Z (Ω), -Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F),Time (s),-Z'' (Ω),Z' (Ω)
100000,397865,89.5205,4.64,64.6,4.08,7.68014,405877,397865
68129,5.87E+05,89.436,,,,9.58118,597810,587278
46416,8.63E+05,89.3205,,,,11.4422,877227,863151
31623,1.26E+06,89.3128,,,,13.4132,1.28E+06,1.26E+06
21544,1.85E+06,89.29,,,,15.4043,1.87E+06,1.85E+06
14678,2.70E+06,89.2356,,,,17.4953,2.73E+06,2.70E+06
10000,3.97E+06,89.3146,,,,19.4664,3.99E+06,3.97E+06
6812.9,5.80E+06,89.3185,,,,21.3274,5.83E+06,5.80E+06
4641.6,8.49E+06,89.325,,,,23.3134,8.50E+06,8.49E+06
3162.3,1.24E+07,89.3312,,,,25.4195,1.24E+07,1.24E+07
2154.4,1.83E+07,89.4055,,,,27.3505,1.80E+07,1.83E+07
1467.8,2.67E+07,89.3192,,,,29.3265,2.64E+07,2.67E+07
1000,3.91E+07,88.7896,,,,31.2676,3.84E+07,3.91E+07
681.29,5.74E+07,89.1055,,,,33.2236,5.61E+07,5.74E+07
464.16,8.37E+07,89.2354,,,,35.1697,8.16E+07,8.37E+07
316.23,1.23E+08,89.0694,,,,36.9607,1.19E+08,1.23E+08
215.44,1.81E+08,89.3918,,,,38.8717,1.73E+08,1.81E+08
146.78,2.61E+08,89.5233,,,,40.7778,2.48E+08,2.61E+08
100,3.84E+08,88.8828,,,,42.7238,3.56E+08,3.84E+08
68.129,5.59E+08,92.2373,,,,44.6798,5.19E+08,5.59E+08
46.416,8.17E+08,88.9844,,,,46.8009,7.50E+08,8.17E+08
31.623,1.18E+09,88.1342,,,,49.1069,1.07E+09,1.18E+09
21.544,1.84E+09,85.1331,,,,51.3479,1.51E+09,1.84E+09
14.678,2.51E+09,89.3183,,,,53.849,2.06E+09,2.51E+09
10,3.94E+09,89.5353,,,,56.645,3.25E+09,3.94E+09
100000,195747,86.3879,16,48.9,8.62,,,
68129,286561,86.8653,,,,,,
46416,417776,87.4268,,,,,,
31623,608526,87.7208,,,,,,
21544,887685,88.0178,,,,,,
14678,1.29E+06,88.1676,,,,,,
10000,1.89E+06,88.3208,,,,,,
6812.9,2.75E+06,88.5174,,,,,,
4641.6,4.02E+06,88.7085,,,,,,
3162.3,5.87E+06,88.8601,,,,,,
2154.4,8.57E+06,89.0666,,,,,,
1467.8,1.25E+07,89.0495,,,,,,
1000,1.84E+07,89.1829,,,,,,
681.29,2.69E+07,89.3846,,,,,,
464.16,3.94E+07,89.5172,,,,,,
316.23,5.79E+07,89.4237,,,,,,
215.44,8.43E+07,89.6803,,,,,,
146.78,1.24E+08,89.2755,,,,,,
100,1.82E+08,89.396,,,,,,
68.129,2.66E+08,89.5067,,,,,,
46.416,3.89E+08,89.2505,,,,,,
31.623,5.65E+08,89.1236,,,,,,
21.544,8.24E+08,89.0777,,,,,,
14.678,1.21E+09,88.5547,,,,,,
10,1.75E+09,88.2447,,,,,,
100000,298962,89.0173,8.68,28.5,5.57,,,
68129,439423,88.9989,,,,,,
46416,643678,88.9998,,,,,,
31623,941839,88.945,,,,,,
21544,1.38E+06,89.0852,,,,,,
14678,2.02E+06,89.0421,,,,,,
10000,2.95E+06,89.0243,,,,,,
6812.9,4.32E+06,89.088,,,,,,
4641.6,6.31E+06,89.0952,,,,,,
3162.3,9.24E+06,89.0178,,,,,,
2154.4,1.35E+07,89.0906,,,,,,
1467.8,1.98E+07,88.841,,,,,,
1000,2.89E+07,88.9253,,,,,,
681.29,4.21E+07,88.8098,,,,,,
464.16,6.16E+07,88.7017,,,,,,
316.23,8.98E+07,88.9481,,,,,,
215.44,1.32E+08,88.1585,,,,,,
146.78,1.91E+08,88.4553,,,,,,
100,2.78E+08,88.66,,,,,,
68.129,4.06E+08,88.1099,,,,,,
46.416,5.90E+08,87.7743,,,,,,
31.623,8.71E+08,88.2408,,,,,,
21.544,1.24E+09,86.9411,,,,,,
14.678,1.80E+09,86.7315,,,,,,
10,2.72E+09,85.2917,,,,,,
100000,224477,87.2575,14.7,24.5,7.56,,,
68129,329198,87.5716,,,,,,
46416,480865,87.9461,,,,,,
31623,701557,88.1436,,,,,,
21544,1.03E+06,88.2236,,,,,,
14678,1.50E+06,88.3861,,,,,,
10000,2.18E+06,88.414,,,,,,
6812.9,3.19E+06,88.4742,,,,,,
4641.6,4.65E+06,88.4993,,,,,,
3162.3,6.79E+06,88.6894,,,,,,
2154.4,9.89E+06,88.7114,,,,,,
1467.8,1.45E+07,88.5982,,,,,,
1000,2.11E+07,88.6005,,,,,,
681.29,3.09E+07,88.5457,,,,,,
464.16,4.50E+07,88.5057,,,,,,
316.23,6.57E+07,88.6097,,,,,,
215.44,9.59E+07,88.2192,,,,,,
146.78,1.40E+08,88.2937,,,,,,
100,2.05E+08,87.8918,,,,,,
68.129,2.98E+08,88.22,,,,,,
46.416,4.36E+08,88.0809,,,,,,
31.623,6.40E+08,87.7054,,,,,,
21.544,9.29E+08,87.3339,,,,,,
14.678,1.33E+09,85.6602,,,,,,
10,1.95E+09,87.5723,,,,,,
100000,212830,86.4341,16.7,6.34,8.06,,,
68129,311487,87.0434,,,,,,
46416,455012,87.617,,,,,,
31623,664071,87.9022,,,,,,
21544,969422,88.2142,,,,,,
14678,1.41E+06,88.3513,,,,,,
10000,2.07E+06,88.5055,,,,,,
6812.9,3.02E+06,88.592,,,,,,
4641.6,4.42E+06,88.6657,,,,,,
3162.3,6.45E+06,88.6748,,,,,,
2154.4,9.43E+06,88.697,,,,,,
1467.8,1.38E+07,88.5399,,,,,,
1000,2.01E+07,88.5504,,,,,,
681.29,2.93E+07,88.389,,,,,,
464.16,4.29E+07,88.2573,,,,,,
316.23,6.22E+07,87.8593,,,,,,
215.44,9.15E+07,87.587,,,,,,
146.78,1.33E+08,87.0796,,,,,,
100,1.93E+08,86.6119,,,,,,
68.129,2.82E+08,85.7093,,,,,,
46.416,4.06E+08,84.3583,,,,,,
31.623,5.76E+08,82.914,,,,,,
21.544,8.34E+08,81.6269,,,,,,
14.678,1.18E+09,79.3894,,,,,,
10,1.67E+09,77.3318,,,,,,
100000,554118,90.3876,8.68,7.64,3.37,,,
68129,815980,89.5994,,,,,,
46416,1.20E+06,89.234,,,,,,
31623,1.75E+06,88.7922,,,,,,
21544,2.55E+06,88.6152,,,,,,
14678,3.73E+06,88.5627,,,,,,
10000,5.43E+06,88.2358,,,,,,
6812.9,7.91E+06,88.2047,,,,,,
4641.6,1.16E+07,88.0772,,,,,,
3162.3,1.68E+07,87.9527,,,,,,
2154.4,2.44E+07,87.6044,,,,,,
1467.8,3.56E+07,87.0346,,,,,,
1000,5.17E+07,86.8619,,,,,,
681.29,7.53E+07,86.3446,,,,,,
464.16,1.08E+08,85.7279,,,,,,
316.23,1.58E+08,84.5518,,,,,,
215.44,2.25E+08,84.3653,,,,,,
146.78,3.21E+08,83.3287,,,,,,
100,4.65E+08,82.7283,,,,,,
68.129,6.59E+08,81.4925,,,,,,
46.416,9.21E+08,81.7314,,,,,,
31.623,1.31E+09,80.7093,,,,,,
21.544,1.85E+09,81.5142,,,,,,
14.678,2.59E+09,78.7924,,,,,,
10,3.65E+09,76.5915,,,,,,
100000,403381,90.0664,5.98,107,4.1,,,
68129,594001,89.4407,,,,,,
46416,869829,89.2019,,,,,,
31623,1.27E+06,89.3312,,,,,,
21544,1.86E+06,88.8971,,,,,,
14678,2.72E+06,88.983,,,,,,
10000,3.97E+06,88.9761,,,,,,
6812.9,5.81E+06,88.9466,,,,,,
4641.6,8.48E+06,89.1873,,,,,,
3162.3,1.25E+07,89.1995,,,,,,
2154.4,1.83E+07,89.1955,,,,,,
1467.8,2.66E+07,89.033,,,,,,
1000,3.88E+07,89.1125,,,,,,
681.29,5.70E+07,89.272,,,,,,
464.16,8.28E+07,89.1624,,,,,,
316.23,1.23E+08,89.232,,,,,,
215.44,1.79E+08,88.729,,,,,,
146.78,2.59E+08,88.8277,,,,,,
100,3.80E+08,88.5015,,,,,,
68.129,5.48E+08,88.2741,,,,,,
46.416,8.20E+08,88.9846,,,,,,
31.623,1.20E+09,88.3613,,,,,,
21.544,1.77E+09,89.0533,,,,,,
14.678,2.41E+09,88.081,,,,,,
10,3.78E+09,89.4185,,,,,,
100000,585708,90.6609,9.16,13.9,3.3,,,
68129,865699,89.7285,,,,,,
46416,1.27E+06,89.3156,,,,,,
31623,1.85E+06,88.9497,,,,,,
21544,2.70E+06,88.4747,,,,,,
14678,3.94E+06,88.2238,,,,,,
10000,5.74E+06,87.691,,,,,,
6812.9,8.32E+06,87.394,,,,,,
4641.6,1.21E+07,87.3617,,,,,,
3162.3,1.76E+07,87.2573,,,,,,
2154.4,2.55E+07,86.7271,,,,,,
1467.8,3.70E+07,86.4456,,,,,,
1000,5.33E+07,86.0565,,,,,,
681.29,7.72E+07,85.7416,,,,,,
464.16,1.12E+08,85.3139,,,,,,
316.23,1.59E+08,84.2154,,,,,,
215.44,2.27E+08,82.5132,,,,,,
146.78,3.22E+08,82.1653,,,,,,
100,4.57E+08,81.7054,,,,,,
68.129,6.34E+08,81.0251,,,,,,
46.416,8.90E+08,81.1689,,,,,,
31.623,1.25E+09,80.6988,,,,,,
21.544,1.75E+09,82.7677,,,,,,
14.678,2.37E+09,84.7638,,,,,,
10,3.68E+09,78.9498,,,,,,
100000,1.03E+06,91.4633,48.3,24.2,2.6,,,
68129,1.52E+06,89.7672,,,,,,
46416,2.23E+06,88.6957,,,,,,
31623,3.26E+06,87.5577,,,,,,
21544,4.73E+06,86.7852,,,,,,
14678,6.90E+06,85.2259,,,,,,
10000,1.00E+07,83.6497,,,,,,
6812.9,1.44E+07,81.7779,,,,,,
4641.6,2.05E+07,79.9828,,,,,,
3162.3,2.88E+07,77.4074,,,,,,
2154.4,3.96E+07,75.2036,,,,,,
1467.8,5.38E+07,72.9532,,,,,,
1000,7.16E+07,72.3419,,,,,,
681.29,9.58E+07,73.0837,,,,,,
464.16,1.30E+08,75.2787,,,,,,
316.23,1.81E+08,77.9975,,,,,,
215.44,2.50E+08,79.5659,,,,,,
146.78,3.57E+08,81.1363,,,,,,
100,5.14E+08,82.7314,,,,,,
68.129,7.44E+08,82.0594,,,,,,
46.416,1.07E+09,84.6946,,,,,,
31.623,1.47E+09,87.1856,,,,,,
21.544,2.16E+09,83.992,,,,,,
14.678,3.30E+09,80.4162,,,,,,
10,4.68E+09,86.287,,,,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F),,,
100000,999905.032,93.3132824,-46940,1.10E+12,1.61E-12,,,
68129,1496613.06,91.6722375,,,,,,
46416,2206581.88,91.0731246,,,,,,
31623,3219856.5,90.6191216,,,,,,
21544,4745889.26,90.2329037,,,,,,
14678,6962160.2,89.7427532,,,,,,
10000,10228010.7,89.3578356,,,,,,
6812.9,14904666.6,89.373406,,,,,,
4641.6,21822825.2,89.4676568,,,,,,
3162.3,31772287.6,89.530447,,,,,,
2154.4,46770657.8,89.4649167,,,,,,
1467.8,68470456.8,89.5547412,,,,,,
1000,100610212,89.2594892,,,,,,
681.29,147073992,89.0619767,,,,,,
464.16,215295553,89.3511308,,,,,,
316.23,315539813,88.2132803,,,,,,
215.44,454745011,88.1082975,,,,,,
146.78,661905150,88.6449369,,,,,,
100,958703105,89.4400306,,,,,,
68.129,1435239405,88.4230854,,,,,,
46.416,2067394970,88.079997,,,,,,
31.623,3028087853,89.2680346,,,,,,
21.544,4116825012,87.0238604,,,,,,
14.678,6818614825,94.1372333,,,,,,
10,9659625857,90.3031136,,,,,,
100000,992236.445,92.7114675,,,,,,
68129,1455534.82,91.8479943,,,,,,
46416,2135825.94,91.2592051,,,,,,
31623,3134543.44,90.857877,,,,,,
21544,4600710.7,90.5843463,,,,,,
14678,6752619.36,90.397936,,,,,,
10000,9911366.37,90.2708362,,,,,,
6812.9,14547853.1,90.1841127,,,,,,
4641.6,21353152.3,90.1248395,,,,,,
3162.3,31341954.7,90.0841779,,,,,,
2154.4,46004736.2,90.0560643,,,,,,
1467.8,67524578.2,90.0363123,,,,,,
1000,99112562.9,90.021973,,,,,,
681.29,145477780,90.0109096,,,,,,
464.16,213531008,90.001473,,,,,,
316.23,313419186,89.992256,,,,,,
215.44,460047085,89.9818836,,,,,,
146.78,675245495,89.9688114,,,,,,
100,991125121,89.9510887,,,,,,
68.129,1454776462,89.9260736,,,,,,
46.416,2135306047,89.8900376,,,,,,
31.623,3134179233,89.8376077,,,,,,
21.544,4600430997,89.7609609,,,,,,
14.678,6752328985,89.648687,,,,,,
10,9910852924,89.484037,,,,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F),,,
100000,958254.014,91.7288345,-9239.6,1.60E+10,1.82E-12,,,
68129,1421712.78,90.414717,,,,,,
46416,2090566.1,89.7455654,,,,,,
31623,3071082.96,89.630248,,,,,,
21544,4486906.95,89.1414185,,,,,,
14678,6509176.66,88.7843458,,,,,,
10000,9565533.84,88.6035929,,,,,,
6812.9,13959593,88.9768114,,,,,,
4641.6,20595041.2,89.3777089,,,,,,
3162.3,29925612.5,89.0701516,,,,,,
2154.4,43758909.4,88.504822,,,,,,
1467.8,63553941.2,88.0767775,,,,,,
1000,93262322.6,87.5387443,,,,,,
681.29,134653077,87.0748879,,,,,,
464.16,192829051,85.8155148,,,,,,
316.23,263939892,83.7772736,,,,,,
215.44,387530781,84.6964951,,,,,,
146.78,554668285,82.6485863,,,,,,
100,853266331,84.3297188,,,,,,
68.129,1197796377,81.3531293,,,,,,
46.416,1770375610,83.1795328,,,,,,
31.623,2442268015,76.8326795,,,,,,
21.544,3718772683,77.2639681,,,,,,
14.678,4929102890,66.0987635,,,,,,
10,6141213559,78.7121955,,,,,,
100000,874237.836,90.6024298,,,,,,
68129,1283171.15,90.4079789,,,,,,
46416,1883401.25,90.274348,,,,,,
31623,2764424.25,90.1816157,,,,,,
21544,4057701.68,90.115955,,,,,,
14678,5955784.18,90.0675885,,,,,,
10000,8741893.69,90.0292962,,,,,,
6812.9,12831378.1,89.9953715,,,,,,
4641.6,18833775.3,89.9607576,,,,,,
3162.3,27644048.9,89.9202931,,,,,,
2154.4,40576783.8,89.867941,,,,,,
1467.8,59557363.5,89.7959068,,,,,,
1000,87417600.4,89.6934427,,,,,,
681.29,128309674,89.5452763,,,,,,
464.16,188324849,89.3293323,,,,,,
316.23,276399747,89.0134408,,,,,,
215.44,405639062,88.5505555,,,,,,
146.78,595166685,87.8720406,,,,,,
100,872890682,86.8775401,,,,,,
68.129,1279042697,85.4215926,,,,,,
46.416,1870499740,83.2959521,,,,,,
31.623,2724157804,80.2108506,,,,,,
21.544,3933505266,75.7883534,,,,,,
14.678,5582555620,69.6087209,,,,,,
10,7673938546,61.3823738,,,,,,